Title,Page URL,Img
OWOX BI,https://www.g2.com/products/owox-bi/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/5d2fb837f19c25171c0e0153713754f7/owox-bi.svg
Constant Contact Advanced Automation & CRM Platform,https://www.g2.com/products/constant-contact-advanced-automation-crm-platform/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/dc63bcf74173270f8007613ccba51fcb/constant-contact-lead-gen-crm-formerly-sharpspring.svg
Dataslayer.ai,https://www.g2.com/products/dataslayer-ai/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/88abdd70bdf462f1fb892c5c6b5af501/dataslayer-ai.svg
Tracksuit,https://www.g2.com/products/tracksuit/reviews,https://images.g2crowd.com/uploads/product/image/large_detail/large_detail_0d7c825b238f35c000e35a5bf6097373/tracksuit.png
Emarsys,https://www.g2.com/products/emarsys/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/1dccb3a0c03048a25eaea20bde1abf12/emarsys.svg
Mouseflow,https://www.g2.com/products/mouseflow/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/656105f9f4043362adf04f48e4300760/mouseflow.svg
CAKE,https://www.g2.com/products/cake/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/101f4d8c943bc8c93797800038c4818e/cake.svg
Optimove,https://www.g2.com/products/optimove/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/506c33b24223481fd87aefe27d4f98e6/optimove.svg
Reportei,https://www.g2.com/products/reportei/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/924fd0ec3a6573b8c04ebfcca33a9628/reportei.svg
CallTrackingMetrics,https://www.g2.com/products/calltrackingmetrics/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/b22c6d545cb6edc7431179dd5f51ed8c/calltrackingmetrics.svg
RollWorks Account-Based Platform,https://www.g2.com/products/rollworks-account-based-platform/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/15439267991306a1614dd84964d54ac3/rollworks-account-based-platform.svg
StoneShot,https://www.g2.com/products/stoneshot/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/9d58439e7a12d008fd2a22300dc5b294/stoneshot.svg
Albacross,https://www.g2.com/products/albacross/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/dd365990e5581f401065144816b41e74/albacross.svg
Maropost Marketing Cloud,https://www.g2.com/products/maropost-marketing-cloud/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/3e818677acc08b2376d22e8b6a8dae77/maropost-marketing-cloud.svg
SALESmanago,https://www.g2.com/products/salesmanago/reviews,https://images.g2crowd.com/uploads/product/image/large_detail/large_detail_12173e6d39f24bf6518c66ff60bd1d57/salesmanago.png
Salesforce Marketing Cloud Intelligence (formerly Datorama),https://www.g2.com/products/salesforce-marketing-cloud-intelligence-formerly-datorama/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/37ea9f1b3b4dc0292e89762129601b56/salesforce-marketing-cloud-intelligence-formerly-datorama.svg
Dreamdata,https://www.g2.com/products/dreamdata/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/a8d039537009900fa059db93fd55810f/dreamdata.svg
DemandJump,https://www.g2.com/products/demandjump/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/3459bae94490664279baba9123b83272/demandjump.svg
Xtremepush,https://www.g2.com/products/xtremepush/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/7f95c0b5321ee8574674e487b11b9573/xtremepush.svg
Act-On,https://www.g2.com/products/act-on/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/85e55d8dca1bc3644f5721c8ac708c6c/act-on.svg
TapClicks,https://www.g2.com/products/tapclicks/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/cb9f790606d41e604ee961596cb33df1/tapclicks.svg
ROI Hunter,https://www.g2.com/products/roi-hunter/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/1992727b107245dfbb81d1f96fbf8a5e/roi-hunter.svg
ReportGarden,https://www.g2.com/products/reportgarden/reviews,https://images.g2crowd.com/uploads/product/image/large_detail/large_detail_f0b94ddf868e513990b8ee064542bfc1/reportgarden.png
SAP Marketing Cloud,https://www.g2.com/products/sap-marketing-cloud/reviews,https://images.g2crowd.com/uploads/product/image/large_detail/large_detail_b1b687cf1fe4ffc07fd3dfc95593d89d/sap-marketing-cloud.jpg
Terminus ABM Platform,https://www.g2.com/products/terminus-abm-platform/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/1554324723/terminus-abm-platform.svg
Windsor.ai,https://www.g2.com/products/windsor-ai/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/c4ab4d8e2371eaef788b55f9060ac42c/windsor-ai.svg
Looker,https://www.g2.com/products/looker/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/562cc527c501f42dc01cb43ff3d79dab/looker.svg
Mode,https://www.g2.com/products/mode-mode/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/1d3a23ce6061348e708150c9a7dfdeed/mode-mode.svg
CHEQ Paradome,https://www.g2.com/products/cheq-paradome/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/e8ca5cdde9156fe81bd092b223e4a7fe/cheq-paradome.svg
Pathmatics by Sensor Tower,https://www.g2.com/products/pathmatics-by-sensor-tower/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/6a02988cd380da425d4a6278f9818a9b/pathmatics-by-sensor-tower.svg
Factors.AI,https://www.g2.com/products/factors-ai/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/9566ea33afbaf899e9e3b14f2b16cef7/factors-ai.svg
Comscore,https://www.g2.com/products/comscore/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/f87e65e538148f72650ee12d1ec58a97/comscore.svg
VWO Insights - Web,https://www.g2.com/products/vwo-insights-web/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/4ca57b9cc03c7bd54532a376917b70fc/vwo-insights-web.svg
Whatagraph,https://www.g2.com/products/whatagraph/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/1b52fd075616564973496e5fc5c5b9af/whatagraph.svg
DashThis,https://www.g2.com/products/dashthis/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/1509643871/dashthis.svg
HockeyStack,https://www.g2.com/products/hockeystack/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/7d9591b92eb2d14c8399f1c30259e653/hockeystack.svg
Growth Channel,https://www.g2.com/products/growth-channel/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/223fbc22c6ac4b4cedaef714ea44b16f/growth-channel.svg
ASK BOSCO®,https://www.g2.com/products/ask-bosco/reviews,https://images.g2crowd.com/uploads/product/image/large_detail/large_detail_f80bbc5b4ad4f4d5aa74ffd5ed61ad33/ask-bosco.png
Databox,https://www.g2.com/products/databox-inc-databox/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/1555402634/databox-inc-databox.svg
InfiniGrow,https://www.g2.com/products/infinigrow/reviews,https://images.g2crowd.com/uploads/product/image/large_detail/large_detail_7098ff01b0cffaf19518757b0fad3827/infinigrow.jpg
Tinyclues,https://www.g2.com/products/tinyclues/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/9d4daf9236c67fdcd1b2dd995b891629/tinyclues.svg
Zoho Marketing Automation,https://www.g2.com/products/zoho-marketing-automation/reviews,https://images.g2crowd.com/uploads/product/hd_favicon/c3ca602631ac83ec977536cc8e85ddaf/zoho-marketing-automation.svg
